ao_type,title,description,cluster
services,"Exploitation et maintenance des installations de chauffage, de ventilation, de climatisation, eau chaude sanitaire et de traitement de l'eau de la piscine","Le présent marché porte sur l'exploitation, l'entretien et le dépannage des installations de chauffage, de ventilation, de climatisation, de production d'eau chaude sanitaire, de traitement de l'eau (piscine) des bâtiments de la Ville de Voreppe",5
services,"Prestation de location et / ou entretien d'articles textiles et prestation de blanchissage 
du linge appartenant au GHU",Prestation de location et / ou entretien d'articles textiles et prestation de blanchissage du linge appartenant au GHU,5
services,Système de sécurité incendie,"l'entretien, la maintenance préventive, corrective et prestations diverses, la formation du personnel des Systèmes de Sécurité Incendie (SSI).",1
services,Désenfumage,"l'entretien, la maintenance préventive, corrective et prestations diverses des installations de désenfumage mécanique et naturel.",5
services,"Moyens d'extinction, extincteurs portatifs, colonnes sèches et robinets d'incendie armés","l'entretien, la maintenance préventive, corrective et prestations diverses, la formation du personnel des Systèmes de Sécurité Incendie (SSI).",1
supplies,"Lot 1 :Postes de travail, bras simple écran articulé, bench, plans haut, caisson, écrans privatif, armoires, meubles mi-hauteur, caissons, accessoires, ...","Postes de travail, bras simple écran articulé, bench, plans haut, caisson, écrans privatif, armoires, meubles mi-hauteur, caissons, accessoires, ...",6
supplies,"Lot 2: Fauteuils de travail, bancs, ballons d'assise, vélos et sièges divers","Fauteuils de travail, bancs, ballons d'assise, vélos et sièges divers",6
supplies,Lot 4: Tables de réunion et de convivialité,Tables de réunion et de convivialité,6
supplies,Lot 8: Up-cycling - Transformation de mobilier existant,Up-cycling - Transformation de mobilier existant,5
services,Mission de maîtrise d'oeuvre sur la restructuration/extension du groupe scolaire Oscar Lamy.,La mission de maîtrise d'oeuvre attribuée à l'issue du concours est composée : D'une mission de base dont les éléments constitutifs sont les suivants : - Études d'avant-projet sommaire (APS) - Études d'avant-projet définitif (APD) - Études de projet (PRO) - Assistance à la passation des contrats de travaux (AMT) - Visa des documents fournis par l'entreprise (VISA) - Direction de l'exécution des travaux (DET) - Assistance aux opérations de réception (AOR) Des missions complémentaires suivantes : - Études de Faisabilité d'Approvisionnement en Énergie (EFAE) - Coordination Sécurité Système Incendie (CSSI) Des missions complémentaires éventuelles suivantes : - Mission complémentaire éventuelle 1 : Ordonnancement Pilotage et Coordination (OPC),1
services,Évaluation du niveau de service de signalisation horizontale,"Accord-cadre mono-attributaire de prestations intellectuelles à bons de commande avec un montant minimum annuel de 15 000,00 euro(s) HT et avec un montant maximum annuel de 250 000,00 euro(s) HT en application des articles R2162-2, R2162-4 1°, R2162-13 et R2162-14 du Code de la commande publique. Appel d'offres ouvert en application de l'article R2124-2 1° du Code de la commande publique. Le contrat prend effet à compter de sa notification pour une durée d'un an. Il est reconductible 3 fois pour une durée d'un an, par tacite reconduction, soit une durée maximale de 4 ans dans les conditions prévues à l'article 4 du CCAP",2
supplies,"Produits de soins, d'hygiène et de santé","Produits de soins, d'hygiène et de santé",1
supplies,"Matériels, mobiliers, appareils de mesure médicaux et kits de secours","Matériels, mobiliers, appareils de mesure médicaux et kits de secours",0
supplies,"AOO N°01PH25 Fourniture de dispositifs médicaux dédiés à la cardiologie, radiologie et chirurgie interventionnelle.",La consultation se compose de 46 lots numérotés de 1 à 46 Cf. détail catalogue des besoins,4
services,Marché relatif à l'assistance à maîtrise d'ouvrage pour la partie finance nécessaire à la mise en oeuvre du programme d'ouverture à la concurrence ferroviaire de la Région Grand Est,"Le marché est un accord-cadre soumis aux dispositions des articles L. 2125-1, R. 2142-9, R. 2162-1 et suivants, et donnant lieu à la conclusion de marchés subséquents dans les conditions fixées aux articles R. 2162-7 et suivants du Code de la commande publique, il est conclu sans montant minimum et avec un montant maximum de 2 000 000 euro(s) HT sur la durée totale du marché. L'accord-cadre est mono-attributaire",2
services,MARCHE DE COLLECTE DES DECHETS MENAGERS ET ASSIMILES,"La collecte des déchets ménagers et assimilés au porte à porte - Ordures ménagères et emballages au porte-à-porte, le transport et le déchargement aux exutoires. La collecte des colonnes d'apport collectif aériennes, enterrées ou semi-enterrées recevant les ordures ménagères et les papiers implantées sur le territoire de la C4, le transport et le déchargement aux exutoires.",6
services,MARCHE DE COLLECTE DES DECHETS MENAGERS ET ASSIMILES,"La collecte des colonnes d'apport collectif aériennes, recevant le verre, implantées sur le territoire de la C4, le transport et le déchargement aux exutoires.",6
services,MARCHE DE COLLECTE DES DECHETS MENAGERS ET ASSIMILES,"La collecte et le traitement des bio déchets présentés en abri bacs ainsi que le traitement-valorisation des produits collectés, la mise à disposition et le remplacement des contenants.",0
services,"Concours de maîtrise d'oeuvre pour la construction d'un nouveau dojo municipal.
La mission de Maîtrise d'oeuvre sera une mission de base avec EXE totale. Elle comprendra, en missions complémentaires, la mission Coordination Système de Sécurité Incendie (CSSI) et la mission Ordonnancement, Pilotage et Coordination (OPC)","Concours de maîtrise d'oeuvre sur &amp;quot;esquisse +&amp;quot;. Le Dojo actuel construit dans les années 80 ne répond plus aux besoins des utilisateurs tant en termes d'usage avec seulement 2 aires de combats mais aussi du point de vue de la capacité d'accueil avec près de 700 adhérents actuellement. Pour cela, la collectivité a décidé de construire un nouveau dojo en lieu et place de l'existant. Le nouveau dojo comprendra notamment : - Une aire principale de pratique sportive avec 4 aires de combats de 650 m² et un espace de 200 m² dédié à l'échauffement. - Un espace pour juges et officiels de 130 m². - Une tribune d'environ 400 places, environ 280 m² de surface utile. - Un espace préparation et récupération physique (salle de musculation avec vestiaires et sanitaires) de 180 m² accessible aux différents clubs du dojo et de la patinoire. - Des espaces dédiés aux clubs (bureaux, club house, office, salle de réunion, locaux de stockage) pour 225 m² - Des locaux administratifs et techniques (sanitaires, infirmerie, espaces d'accueil, locaux techniques pour 400 m². Soit une surface utile totale estimée à 2600 m². L'enveloppe prévisionnelle affectée aux travaux est de 5 900 000 euro(s) H.T. (valeur décembre 2024)",6
works,RN66 - Travaux de réhabilitation du pont-voûte du ruisseau de Feigne (88)P48/66,◦ Travaux de terrassement ; ◦ Travaux préparatoires avec préparation d'une zone de grutage ; ◦ Démolition du trottoir existant ; ◦ Réalisation d'un soutènement provisoire de la chaussée conservée en exploitation par injection ; ◦ Mise en oeuvre d'un mur de soutènement ; ◦ Mise en oeuvre d'un trottoir béton en encorbellement ; ◦ Travaux de reprise de la maçonnerie sur certaines parties de l'ouvrage conservé ; ◦ Travaux de structure de chaussée et bande de roulement.,6
services,MARCHE D'EXPLOITATION DE LA DECHETERIE COMMUNAUTAIRE DE CHARLY SUR MARNE,"Les prestations à assurer sont les suivantes : Enlèvement, transport et traitement/valorisation des DNR/Encombrants, des déchets verts, du bois, des cartons, de la ferraille et des gravats- Mise à disposition de bennes.",1
services,Prestations de service relatifs à la mise en place d'une plateforme de gestion d'actifs numériques,"Il s'agit d'un accord-cadre à bons de commandes et marchés subséquents de prestations de services relatives à la mise en place d'une plateforme de gestion d'actifs numériques, conclu avec un seul opérateur économique. Il sera exécuté en partie par la conclusion de marchés subséquents et en partie par l'émission de bons de commande, lors de la survenance du besoin. Le marché public prend effet à sa date de notification au titulaire pour une durée de 12 mois reconductible tacitement 3 fois 12 mois. Pour une période de 12 mois, il n'y a pas de montant minimum et le montant maximum est 30 000, 00 euro(s) HT, soit 36 000,00 euro(s) TTC",2
supplies,"céleris raves, navets, panais, patates douces","céleris raves, navets, panais, patates douces",6
supplies,"Potirons, Potimarrons, Butternuts","Potirons, Potimarrons, Butternuts",0
services,conseil en communication média et l'achat d'espaces,"le Cnous souhaite renforcer ses missions d?information et de promotion des actions du réseau auprès de ses publics en faisant appel à une agence média pour : ? Réaliser des études d?analyse des médias, des comportements de ses cibles en matière de consommation d?information et de la présence d?autres institutions dans les médias, ? Bénéficier d?une doctrine d?achat d?espace pour réseau en fonction des cibles, ? Bénéficier de conseils en matière d?achat d?espace et d?optimisation des budgets dédiés à l?achat d?espaces publicitaires de manière à maximiser l?efficacité de ses campagnes de communication, ? Proposer et mettre en ?uvre les plans médias des campagnes de communication du Cnous, ? Mesurer l?efficacité des campagnes d?achat d?espace à l?aide d?indicateurs quantitatifs et qualitatifs, ? Informer deux fois par an le réseau des nouveautés en matière de médias (usages, tendances, etc.)",1
services,marketing événementiel,"Le Cnous souhaite renforcer la présence et la visibilité des Crous dans les lycées, sur les campus et au sein des établissements de l?enseignement supérieur publics ou privés à l?aide de campagnes d?affichage ciblées mais aussi d?opérations évènementielles innovantes. A titre d?exemple, ces prestations pourront prendre la forme d?opération de street-marketing, d?animations organisées au sein des lycées ou des campus, de conférences, de job dating, de soirées thématiques, de la visibilité sur les campus et dans les lycées par de l?affichage ou de la présence sur les écrans dynamiques, etc.",1
services,REGROUPEMENT DES SERVICES DE PEDOPSYCHIATRIE DE TARBES SUR UN SITE DE SEMEAC (65),"La présente consultation concerne une mission de maîtrise d'oeuvre pour de construction d'un nouveau site visant à regrouper les services de pédopsychiatrie de Tarbes sur Séméac (65). Il s'agit d'une opération de construction d'un Pôle de Pédopsychiatrie regroupant les 6 structures présentes sur la ville de Tarbes. Le descriptif de l'opération est présenté dans la note de synthèse de l'opération. En termes de surfaces, l'ensemble du projet représente : - la construction d'un total de 2 112 m² d'espaces bâtis ; - l'aménagement de 2 930m² d'espaces extérieurs",5
services,Travaux d'impression : Journal de l'Agglo et Magazine #Thionville,"Il s'agit d'une relance du lot 5 du marché de travaux d'impression en cours suite à sa résiliation. Les autres lots sont les suivants : - Lot 01 : Invitations - Flyers - dépliants - brochures, - Lot 02 : Affiches - Lot 03 : Supports spéciaux - Lot 04 : Catalogues - Lot 06 : Reprographie papeterie Montant minimum : 40 000 euro(s) HT - Montant maxi : 200 000 euro(s) HT pour la durée totale du contrat. Consultation lancée en groupement de commandes avec la Ville de Thionville/CCAS. Le coordonnateur est la Communauté d'Agglomération Portes de France - Thionville. le contrat sera conclu à compter de la notification jusqu'au 31.12.2026. C'est un accord-cadre à bons de commande, mono attributaire. Les prestations sont réglées par des prix unitaires. Le contrat comprend une clause de réexamen",2
services,Lot n°1 - ESPR NORMANDIE,"Les informations spécifiques à ce lot sont précisées à la rubrique ""informations complémentaires""",6
supplies,Fourniture d'une solution de gestion de la relation usager (GRU) et des prestations associées pour l'EPT Grand-Orly Seine Bièvre.,Fourniture d'une solution de gestion de la relation usager (GRU) et des prestations associées pour l'EPT Grand-Orly Seine Bièvre.,6
works,Prestation de travaux d'entretien des chaussées des routes et autoroutes,"Prestation de travaux d'entretien des chaussées des routes et autoroutes sur N 4 (Toul-Sézanne), N 44",6
works,Prestation de travaux d'entretien des chaussées des routes et autoroutes,"Prestation de travaux d'entretien des chaussées des routes et autoroutes sur N 52, A30, A31 (Luxembourg-Toul), N 431, A313, A33, N 4 (Dombasle-sur-Meurthe/Phalsbourg)",2
works,Prestation de travaux d'entretien des chaussées des routes et autoroutes,"Prestation de travaux d'entretien des chaussées des routes et autoroutes sur N 135, A330, N 57, N 66, N 59, N 159",2
services,"Mission de maîtrise d'oeuvre pour la mise à 2×2 voies de la RN 44, section Moncetz-Longevas - Châlons-en-Champagne","La mise à 2×2 voies de la section Moncetz - Châlons constitue la prochaine phase de l'opération de mise à 2×2 voies de la RN44. L'opération s'étend sur 3,8 km et consiste à réaliser un aménagement dans le prolongement des sections actuelles à 2x2 voies de la RN44, depuis la fin de la déviation de Châlons-en-Champagne au Nord jusqu'à la déviation de Chepy mise en service en octobre 2018 (PR64+200 au PR68+000)",2
supplies,"Pipette micro-injection courbure 30°, pointes et consommables pour pipette Stripper","Pipette micro-injection courbure 30°, pointes et consommables pour pipette Stripper&amp;lt;br/&amp;gt;",3
supplies,"Cellule de comptage des spermatozoïdes, dispositifs de recueil de sperme et accessoires","Cellule de comptage des spermatozoïdes, dispositifs de recueil de sperme et accessoires&amp;lt;br/&amp;gt;",0
supplies,Consommables pour imprimante MAPI,Consommables pour imprimante MAPI&amp;lt;br/&amp;gt;,3
supplies,Huile pour culture de gamètes et embryons,Huile pour culture de gamètes et embryons&amp;lt;br/&amp;gt;,6
supplies,Milieux et tests pour exploration fonctionnelle du sperme,Milieux et tests pour exploration fonctionnelle du sperme&amp;lt;br/&amp;gt;,6
supplies,Milieux divers pour la biologie de la reproduction,Milieux divers pour la biologie de la reproduction&amp;lt;br/&amp;gt;,0
supplies,Milieux de culture embryonnaire,Milieux de culture embryonnaire&amp;lt;br/&amp;gt;,3
supplies,Milieux de transfert embryonnaire,Milieux de transfert embryonnaire&amp;lt;br/&amp;gt;,3
supplies,Milieux de culture de type « Leibovitz »,Milieux de culture de type « Leibovitz »&amp;lt;br/&amp;gt;,6
supplies,Dispositifs de vitrification de spermatozïdes,Dispositifs de vitrification de spermatozïdes&amp;lt;br/&amp;gt;,0
supplies,Milieux de vitrification et dévitrification : ovocytaires et embryonnaires,Milieux de vitrification et dévitrification : ovocytaires et embryonnaires&amp;lt;br/&amp;gt;,6
supplies,Dispositifs pour vitrification ovocytaire,Dispositifs pour vitrification ovocytaire&amp;lt;br/&amp;gt;,3
supplies,Dispositifs pour vitrification embryonnaire précoce,Dispositifs pour vitrification embryonnaire précoce &amp;lt;br/&amp;gt;,0
supplies,Dispositifs pour vitrification embryonnaire au stade blastocyste,Dispositifs pour vitrification embryonnaire au stade blastocyste&amp;lt;br/&amp;gt;,0
supplies,"Visotubes triangulaires, ronds, polygonaux, gobelets de stockage et machon pour tirette d'identification de canister et dispositifs pour congelation des spermatozoïdes","Visotubes triangulaires, ronds, polygonaux, gobelets de stockage et machon pour tirette d'identification de canister et dispositifs pour congelation des spermatozoïdes&amp;lt;br/&amp;gt;",0
supplies,Dispositifs de congélation des spermatozoïdes compatible système robotique mise en paillettes,Dispositifs de congélation des spermatozoïdes compatible système robotique mise en paillettes&amp;lt;br/&amp;gt;,0
services,"Maintenance et travaux d'entretien des gazons synthétiques, pistes d'athlétismes et aires de réception du patrimoine de la Ville de Marseille dans les 1er, 6e, 7e, 8e, 9e, 10e, 11e et 12e arrondissements","Maintenance et travaux d'entretien des gazons synthétiques, pistes d'athlétismes et aires de réception du patrimoine de la Ville de Marseille dans les 1er, 6e, 7e, 8e, 9e, 10e, 11e et 12e arrondissements",5
services,"Maintenance et travaux d'entretien des gazons synthétiques, pistes d'athlétismes et aires de réception du patrimoine de la Ville de Marseille dans les 2e, 3e, 4e, 5e, 13e, 14e, 15e, 16e arrondissements et équipements rattachés","Maintenance et travaux d'entretien des gazons synthétiques, pistes d'athlétismes et aires de réception du patrimoine de la Ville de Marseille dans les 2e, 3e, 4e, 5e, 13e, 14e, 15e, 16e arrondissements et équipements rattachés",5
supplies,Livraison en vrac d'essence sans plomb 95 E10 (E10 selon la norme EN 16942 ou équivalent européen en vigueur à la date de commande),Livraison en vrac d'essence sans plomb 95 E10 (E10 selon la norme EN 16942 ou équivalent européen en vigueur à la date de commande),6
supplies,Livraison en vrac de gazole (B7 selon la norme EN 16942 ou équivalent européen en vigueur à la date de commande),Livraison en vrac de gazole (B7 selon la norme EN 16942 ou équivalent européen en vigueur à la date de commande),6
services,"Réalisation de monographies pour l'évaluation qualitative des expérimentations d'une tenue
vestimentaire commune à l'École",Réalisation de monographies pour l'évaluation qualitative des expérimentations d'une tenue vestimentaire commune à l'École pour le compte du ministère de l'Éducation nationale et de la Jeunesse.,1
services,Prestations d'entretien des espaces verts de l'abbaye du Thoronet,Accord-cadre mono-attributaire de prestations d'entretien des espaces verts de l'abbaye du Thoronet,6
supplies,Spectrométries par torche à plasma,Spectrométries par torche à plasma,0
supplies,Système d'introduction: ablation laser et passeur en voie liquide,Système d'introduction: ablation laser et passeur en voie liquide,0
services,Transport collectif des élèves des écoles situées sur le territoire de la COMPA à destination des piscines d'Ancenis-Saint-Géréon,"o Les prestations se dérouleront pendant les périodes scolaires, de façon régulière, du lundi au vendredi, aux heures d'ouverture des écoles. o Les prestations se dérouleront sur les communes membres de la COMPA, du lieu de départ (école) jusqu'aux piscines et retour au point de départ.",6
services,"Transport collectif des élèves des écoles de Ligné, Joué-sur-Erdre, Trans-sur-Erdre à destination de la piscine de Nort-sur-Erdre","o Les prestations se dérouleront pendant les périodes scolaires, de façon régulière, du lundi au vendredi, aux heures d'ouverture des écoles. o Les prestations se dérouleront sur les communes de Ligné, Joué-sur-Erdre, Trans-sur-Erdre et Nort-sur-Erdre, du lieu de départ (école) jusqu'à la piscine et retour au point de départ.",6
services,Transport collectif des élèves des écoles situées sur le territoire de la COMPA à destination de la piscine de Vallons de l'Erdre,"o Les prestations se dérouleront pendant les périodes scolaires, de façon régulière, du lundi au vendredi, aux heures d'ouverture des écoles. o Les prestations se dérouleront sur les communes membres de la COMPA, du lieu de départ (école) jusqu'à la piscine et retour au point de départ.",6
services,Transport collectif de personnes en période scolaire et en semaine pour les besoins de la COMPA - secteur Ouest,"o Les prestations se dérouleront pendant les périodes scolaires, de façon ponctuelle, du lundi au vendredi. o Les prestations se dérouleront en Loire Atlantique, Maine-et-Loire, Ille-et-Vilaine, Deux-Sèvres, du lieu de départ (secteur Ouest de la COMPA) jusqu'au lieu où se déroule la sortie et retour au point de départ.",6
services,Transport collectif de personnes en période scolaire et en semaine pour les besoins de la COMPA - secteur Nord,"o Les prestations se dérouleront pendant les périodes scolaires, de façon ponctuelle, du lundi au vendredi. o Les prestations se dérouleront en Loire Atlantique, Maine-et-Loire, Ille-et-Vilaine, Deux Sèvres du lieu de départ (secteur Nord de la COMPA) jusqu'au lieu où se déroule la sortie et retour au point de départ.",6
services,Transport collectif de personnes en période scolaire et en semaine pour les besoins de la COMPA - secteur Est,"o Les prestations se dérouleront pendant les périodes scolaires, de façon ponctuelle, du lundi au vendredi. o Les prestations se dérouleront en Loire Atlantique, Maine-et-Loire, Ille-et-Vilaine, Deux Sèvres du lieu de départ (secteur Est de la COMPA) jusqu'au lieu où se déroule la sortie et retour au point de départ.",6
services,Transport collectif de personnes en période scolaire et en semaine pour les besoins de la COMPA - secteur Centre,"o Les prestations se dérouleront pendant les périodes scolaires, de façon ponctuelle, du lundi au vendredi. o Les prestations se dérouleront en Loire Atlantique, Maine-et-Loire, Ille-et-Vilaine, Deux Sèvres du lieu de départ (secteur Centre de la COMPA) jusqu'au lieu où se déroule la sortie et retour au point de départ.",6
services,Transport collectif de personnes en dehors des horaires et des périodes scolaires pour les besoins de la COMPA,"o Les prestations se dérouleront du lundi au dimanche, sans limitation horaire. o Les prestations se dérouleront dans la France entière, au départ d'un lieu situé sur le territoire de la COMPA.",6
services,Transport collectif d'élèves vers le spectacle de l'association Transmission,"o Les prestations se dérouleront sur une soirée, en septembre, dans un créneau horaire allant de 18h à 01h00. o Les prestations se dérouleront dans les communes membres de la COMPA, au départ des collèges situés sur le territoire de la COMPA vers le site du spectacle à Trans-sur-Erdre, aller et retour.",6
services,"Reconstruction de la Maison des sports, de la Maison des associations et d'une salle familiale","Reconstruction de la Maison des sports, de la Maison des associations et d'une salle familiale",1
services,"Prestations d'hébergement et de maintenance applicative de la plate-forme TAO (Open Source) de diffusion des
évaluations des élèves et des applications associées, et prestations associées de développement d'outils adossés à
ladite plate-forme.","Prestations d'hébergement et de maintenance applicative de la plate-forme TAO (Open Source) de diffusion des évaluations des élèves et des applications associées, et prestations associées de développement d'outils adossés à ladite plate-forme, pour le ministère de l'éducation nationale et de la jeunesse.",5
services,"Contrat de concession, sous forme de délégation de service public, relatif à la rénovation, au développement, à l'exploitation du pôle de valorisation des déchets résiduels (P.V.D.R.) et du pôle de valorisation des biodéchets (P.V.B.) du SEVADEC ainsi qu'à la gestion du service public associé.","La procédure concerne l'attribution d'un contrat de concession sous forme de délégation de service public, au sens de l'article L. 1411-1 du CGCT et L. 1121-1 du Code de la commande publique. Il porte sur (i) le financement, la conception et la réalisation de travaux concernant les deux Ouvrages ; (ii) l'exploitation des Ouvrages pour le compte du SEVADEC et la gestion du service public de traitement des déchets y étant associée ; (iii) l'accueil et le traitement en priorité des déchets des membres du SEVADEC, en conformité avec les autorisations d'exploitation ; (iv) le respect des conditions et performances d'exploitation fixées dans le cahier des charges technique ; (v) l'entretien et la maintenance des Ouvrages ; la conception, le financement et la réalisation d'un plan de GER des Ouvrages.",1
services,ACCORD-CADRE A BONS DE COMMANDE DE TRAVAUX POUR LA REALISATION ET L'EXPLOITATION D'UN SYSTEME DE SURVEILLANCE AFIN DE REDUIRE TEMPORELLEMENT LES RISQUES GEOLOGIQUES ISSUS DES PAROIS ROCHEUSES DU MONT-FARON,"La présente consultation concerne un accord-cadre à bons de commande de travaux pour la réalisation et l'exploitation d'un système de surveillance afin de réduire temporellement les risques géologiques issus des parois rocheuses du mont-Faron. Au regard de l'instabilité rocheuse du massif du Faron, depuis de nombreuses années, les risques géologiques de chutes de blocs et de masses rocheuses sont préoccupants pour les zones habitées en aval. Afin de limiter le risque, en attendant le confortement des falaises, une surveillance géologique (réseau de surveillance et d'alerte) des secteurs permet de surveiller l'évolution des massifs rocheux et compartiments instables identifiés et d'intervenir en urgence si nécessaire. L'objet de cette surveillance est de pouvoir réagir rapidement en cas d'accélération de phénomènes, de compléter les nouveaux secteurs instables de dispositifs de surveillance. Groupement de commande : Dans le cadre du confortement et sécurisation du mont Faron, les 2 maîtrises d'ouvrages (TPM et la Ville de Toulon) s'engagent à harmoniser les démarches administratives et techniques pour assurer une homogénéité des interventions sur le massif. Les deux MOA poursuivent les démarches déjà engagées depuis 2010, à savoir constituer des groupements de commande en vue de la passation de marchés publics. Aujourd'hui, il s'agit de poursuivre la surveillance du massif avec le renouvellement d'un nouvel-accord cadre à bons de commande en groupement de commande. Conformément aux dispositions des articles L. 2113-6 à L. 2113-8 du code de la commande publique, le présent accord-cadre est passé par le groupement de commandes constitué de la Métropole Toulon Provence Méditerranée et la Commune de Toulon. Conformément aux dispositions de l'article L. 2113-7 du code de la commande publique, le coordonnateur du groupement sera la Métropole T.P.M. La commission d'appel d'offres du groupement sera celle du coordonnateur. Chaque membre du groupement gère l'exécution intégrale de son contrat.",5
services,Transfert des Ordures Ménagères Résiduelles et des Emballages Ménagers Recyclables,"Transfert des Ordures Ménagères Résiduelles (OMR) et des Emballages Ménagers Recyclables (EMR). - Transfert des OMR (réception, stockage, chargement) - Transfert des recyclables (réception, stockage, chargement) - Transport des recyclables entre le quai de transfert et Haganis",0
supplies,"Fourniture, livraison, installation et mise en service de conteneurs cryogéniques pour azote en phase liquide ou gazeuse, prestations de maintenance, fourniture et livraison des pièces détachées associées",Quantité prévisionnelles /an 171 unités,4
supplies,Lot 1 : Fourniture de mobiliers pédagogiques à l'unité et service d'installation et de montage,Lot 1 : Fourniture de mobiliers pédagogiques à l'unité et service d'installation et de montage,5
supplies,"Lot 2 : Étude de faisabilité, conception d'espaces pédagogiques et de détente avec fourniture de mobiliers et services d'installation","Lot 2 : Étude de faisabilité, conception d'espaces pédagogiques et de détente avec fourniture de mobiliers et services d'installation",5
supplies,Lot 3 : Mobilier de seconde main et/ou reconditionné pour un achat responsable,Lot 3 : Mobilier de seconde main et/ou reconditionné pour un achat responsable,6
supplies,Location d'engins de chantier avec chauffeur,Location d'engins de chantier avec chauffeur,6
supplies,Location d'engins de chantier sans chauffeur,Location d'engins de chantier sans chauffeur,6
supplies,location de matériels d'espaces verts et cadre de vie,location de matériels d'espaces verts et cadre de vie,6
supplies,Location de véhicules sans chauffeur,Location de véhicules sans chauffeur,6
services,Maintenance des ascenseurs et monte-charges des bâtiments du Département de l'Eure et du Service Départemental d'Incendie et de Secours de l'Eure,Maintenance des ascenseurs et monte-charges des bâtiments du Département de l'Eure et du Service Départemental d'Incendie et de Secours de l'Eure,5
services,Débardage et câblage en montagne,Débardage et câblage en montagne,6
services,Travaux d'amélioration sylvicole en plaine,Travaux d'amélioration sylvicole en plaine,1
services,"Broyage, confection de potets à la tarière et entretien de cloisonnements en plaine","Broyage, confection de potets à la tarière et entretien de cloisonnements en plaine",6
services,"Fourniture de plants pour la plaine et la montagne, plantation en plaine","Fourniture de plants pour la plaine et la montagne, plantation en plaine",6
services,Engrillagement de parcelles à planter en plaine,Engrillagement de parcelles à planter en plaine,6
services,Contrôle et réparation de clôtures en plaine,Contrôle et réparation de clôtures en plaine,6
services,Entretien de la desserte forestière en plaine,Entretien de la desserte forestière en plaine,6
services,Entretien de la desserte forestière en montagne,Entretien de la desserte forestière en montagne,6
services,Fauchage et élagage au lamier en plaine et montagne,Fauchage et élagage au lamier en plaine et montagne,6
services,Enlèvement sélectif d'embâches en plaine,Enlèvement sélectif d'embâches en plaine,6
services,"Subdivisions NET Nord Est, NET Nord Ouest, NET Centre Ouest","Les prestations consistent à réaliser un nettoiement global des espaces : nettoiement du trottoir, des cheminements piétonniers, des places et espaces publics, nettoiement du caniveau, nettoiement de l'espace sous le stationnement lorsque celui-ci existe, nettoiement de l'espace inaccessible directement par les moyens mécaniques (escaliers ou rampes à titre d'exemple) dans la limite de l'accessibilité des moyens utilisés dans le cadre de ce marché. Le prestataire utilise une lance et/ou souffleur pour évacuer les déchets sur ces différents espaces afin qu'ils soient aspirés par la balayeuse. Les déchets sont ensuite évacués vers les sites d'égouttage métropolitains",5
services,"Subdivisions NET Centre Est, NET Sud Est, NET Sud","Les prestations consistent à réaliser un nettoiement global des espaces : nettoiement du trottoir, des cheminements piétonniers, des places et espaces publics, nettoiement du caniveau, nettoiement de l'espace sous le stationnement lorsque celui-ci existe, nettoiement de l'espace inaccessible directement par les moyens mécaniques (escaliers ou rampes à titre d'exemple) dans la limite de l'accessibilité des moyens utilisés dans le cadre de ce marché. Le prestataire utilise une lance et/ou souffleur pour évacuer les déchets sur ces différents espaces afin qu'ils soient aspirés par la balayeuse. Les déchets sont ensuite évacués vers les sites d'égouttage métropolitains",5
services,ANIMATION ET SUIVI D'UN GUICHET UNIQUE DE L'HABITAT EN VUE D'AMELIORER LE PARC DE LOGEMENT PRIVES ANCIENS SUR LE TERRITOIRE DE LA COMMUNAUTE DE COMMUNES DU PAYS DE LA CHATAIGNERAIE,ANIMATION ET SUIVI D'UN GUICHET UNIQUE DE L'HABITAT EN VUE D'AMELIORER LE PARC DE LOGEMENT PRIVES ANCIENS SUR LE TERRITOIRE DE LA COMMUNAUTE DE COMMUNES DU PAYS DE LA CHATAIGNERAIE,6
works,Travaux plomberie/sanitaires/chauffage et ventilation,Travaux plomberie/sanitaires/chauffage et ventilation,5
services,"Coordination, assistance et animation","Coordination, assistance administrative et animation de la procédure d'élaboration",1
supplies,Location entretien d'autolaveuse,Location entretien d'autolaveuse,6
supplies,Achats autolaveuses et monobrosses,Achats autolaveuses et monobrosses,6
supplies,Maintenance préventive et curative autolaveuse monobrosse et balayeuse,Maintenance préventive et curative autolaveuse monobrosse et balayeuse,0
services,"MARCHE 2024FRR01 - MANDATS DE GESTION ACTIVE RESPONSABLE D'ACTIONS JAPONAISES TOUTES CAPITALISATIONS STYLE ""BLEND""","Le Marché a pour objet la gestion active responsable de style « Blend » par des prestataires de services d'investissement de, au maximum, trois (3) mandats de gestion qui devront mettre en œuvre une exposition aux actions japonaises toutes capitalisations. L'indice de référence retenu pour mesurer la performance des gestionnaires aura des caractéristiques similaires à l'indice MSCI Japan TR. Il sera précisé dans les mandats de gestion lors de la phase d'offres. L'approche de gestion pourra être fondamentale ou quantitative active. Le FRR, compte tenu de son passif, recherche des processus qui offrent une liquidité importante. L'objectif de gestion assigné aux titulaires des mandats de gestion sera de surperformer l'indice de référence sur la durée des mandats. L'écart de suivi (ou Tracking Error) ex-ante maximal est fixé à 10% per annum. Cette gestion active s'effectuera sans limites de déviation sectorielle. La devise de référence du portefeuille sera le YEN.",5
